FacilityID,Name,FacilityType,Address1,Town,Latitude,Longitude,Parking,ParkingAccessible,KeyRequired,OpeningHours,Male,Female,Unisex,AllGender,Accessible,LHTransfer,RHTransfer
34699,Nursery,Park or reserve,Birdwood Avenue,Melbourne,-37.8324347,144.9797515,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
34701,Touchwood,Park or reserve,Alexandra Avenue,Melbourne,-37.82951167,144.9820956,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
40017,Commercial Road,Park or reserve,55 Commercial Rd,Melbourne,-37.84520425,144.9826252,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40095,Fawkner Park,Park or reserve,152-154 Toorak Rd West,Melbourne,-37.83820341,144.9844404,FALSE,TRUE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
40097,Alexandra Park,Park or reserve,Alexandra Avenue,Melbourne,-37.82761036,144.9818325,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40219,Flinders Street,Train station,245 Flinders St,Melbourne,-37.81792284,144.9663305,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40225,Queen Street,Other,113 Queen St,Melbourne,-37.81584891,144.9610804,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40227,Lonsdale Street,Other,424 Lonsdale St,Melbourne,-37.81294323,144.9600293,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40267,Bourke Street,Other,225 Bourke St,Melbourne,-37.81325309,144.9669585,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40497,David Jones - Bourke Street,Shopping centre,310 Bourke Street,Melbourne,-37.813309,144.964402,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42185,Queen Victoria Gardens,Park or reserve,Linlithgow Avenue Melbourne,Melbourne,-37.82294755,144.9710037,FALSE,TRUE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
42421,Airport West Service Centre,Other,10 Louis Street,Melbourne,-37.714511,144.888713,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43191,Queen Victoria Market,Other,456 Queen Street,Melbourne,-37.80788846,144.9579528,TRUE,TRUE,FALSE,"OPEN: Sat-Sun 4am-7pm, Tue,Thu-Fri 4am-5pm, Wed 6am-9:50pm",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43193,Birrarung Marr Park,Park or reserve,Princes Walk Melbourne,Melbourne,-37.81860384,144.9711354,FALSE,FALSE,FALSE,OPEN: 24 hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
43197,Queen Victoria Market,Other,159 Victoria Street,Melbourne,-37.8063998,144.9590201,FALSE,FALSE,FALSE,"OPEN: Tue,Thu-Fri 6am-5pm, Sat-Sun 6am-7pm, Wed 8am-9:50pm",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43201,Queen Victoria Market,Other,153 Victoria Street MELBOURNE VIC 3000,Melbourne,-37.80616528,144.9566889,FALSE,FALSE,FALSE,"OPEN: Wed 5am-3pm, Mon 5am-4pm, Tue,Thu-Fri 3am-5pm, Sat-Sun 3am-7pm",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
50677,Sofitel Melbourne on Collins,Other,25 Collins Street,Melbourne,-37.8141189,144.9728415,TRUE,TRUE,FALSE,OPEN: Daylight hours,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
54089,271 Spring Street,Food outlet,271 Spring Street,Melbourne,-37.80879095,144.9711321,FALSE,FALSE,FALSE,OPEN: Daylight hours,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
54111,Rod Laver Arena,Other,Olympic Boulevard,Melbourne,-37.8216833,144.9785474,FALSE,FALSE,FALSE,OPEN: Variable hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
55157,Alfred Hospital,Other,55 Commercial Road,Melbourne,-37.84550871,144.9820577,FALSE,FALSE,FALSE,OPEN: 7am-8pm,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
57106,Melbourne Central - Elizabeth Street,Shopping centre,360 Elizabeth Street,Melbourne,-37.81063448,144.9623575,FALSE,FALSE,FALSE,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
57108,Melbourne Central Food Court,Shopping centre,360 Elizabeth Street,Melbourne,-37.81056667,144.9621107,FALSE,FALSE,FALSE,"OPEN: Sat-Wed 10am-7pm, Thu-Fri 10am-9pm",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
57210,The Atrium,Other,Swanston Street,Melbourne,-37.8174181,144.9694638,FALSE,FALSE,FALSE,OPEN: 6am-11:30pm,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
