id,theme,subTheme,name,latitude,longitude
PLAC-228,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,-37.8201763042794, 144.96298113724
PLAC-229,Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,-37.8219745489446, 144.96246144843
PLAC-230,Community Use,Visitor Centre,Melbourne Visitor Centre,-37.8177352402006, 144.967937138226
PLAC-231,Place Of Assembly,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.8176107327202, 144.969070431323
PLAC-232,Transport,Bridge,Webb Bridge,-37.8232052384507, 144.947291011905
PLAC-233,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.8097374138234, 144.981383411592
PLAC-234,Education Centre,School - Primary and Secondary Education,Melbourne Girls Grammar School,-37.8315364518803, 144.985089428348
PLAC-235,Retail,Department Store,Myer,-37.8135911985281, 144.963855087868
PLAC-236,Retail,Department Store,David Jones,-37.8133127260638, 144.964373486798
PLAC-237,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,-37.8027919689732, 144.962760852233
PLAC-238,Health Services,Private Hospital,Epworth Freemasons Hospital,-37.8109710654051, 144.98370007659
PLAC-239,Residential Accommodation,Dwelling (House),Bishopscourt,-37.8132921649416, 144.98350690799
PLAC-240,Health Services,Medical Services,Mercy Private Hospital,-37.811896809802, 144.984435746587
PLAC-241,Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.8107686127655, 144.96923385414
PLAC-242,Mixed Use,Retail/Office/Carpark,ANZ 'Gothic' Bank,-37.8161580666029, 144.961673719242
