id,name,address,status,latitude,longitude
WIFI-201,MEL-0519,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.812215,144.954093
WIFI-202,MEL-0520,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.812135,144.954378
WIFI-203,MEL-0521,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.812058,144.954635
WIFI-204,MEL-0522,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.811969,144.955032
WIFI-205,MEL-0523,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.811855,144.95537
WIFI-206,MEL-0524,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.811774,144.955762
WIFI-207,MEL-0525,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.811673,144.956116
WIFI-208,MEL-0526,Flagstaff Station - Ml_Platform 3 & 4,UP,-37.811927,144.956261
WIFI-209,MEL-0527,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812037,144.955939
WIFI-210,MEL-0528,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812179,144.955499
WIFI-211,MEL-0529,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812245,144.955199
WIFI-212,MEL-0530,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812308,144.954469
WIFI-213,MEL-0531,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812215,144.95478
WIFI-214,MEL-0532,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.812071,144.955231
WIFI-215,MEL-0533,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.811978,144.955633
WIFI-216,MEL-0534,Flagstaff Station - Ml_Platform 1 & 2,UP,-37.811851,144.956025
WIFI-217,MEL-0535,Flagstaff Station - Ml_Concourse Area ,UP,-37.812139,144.956132
WIFI-218,MEL-0536,Flagstaff Station - Ml_Concourse Area ,UP,-37.812266,144.956186
WIFI-219,MEL-0537,Flagstaff Station - Ml_Concourse Area ,UP,-37.812338,144.956089
WIFI-220,MEL-0538,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810391,144.961899
WIFI-221,MEL-0539,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810348,144.962113
WIFI-222,MEL-0540,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810315,144.962269
WIFI-223,MEL-0541,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810288,144.962434
WIFI-224,MEL-0542,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810216,144.962652
WIFI-225,MEL-0543,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810168,144.962788
WIFI-226,MEL-0544,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810089,144.963013
WIFI-227,MEL-0545,Melbourne Central Station - Ml_Platform 3 & 4,UP,-37.810024,144.963224
WIFI-228,MEL-0546,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.809968,144.963197
WIFI-229,MEL-0547,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.810027,144.962976
WIFI-230,MEL-0548,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.81008,144.962801
WIFI-231,MEL-0549,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.810191,144.962556
WIFI-232,MEL-0550,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.8102,144.962407
WIFI-233,MEL-0551,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.810257,144.962195
WIFI-234,MEL-0552,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.81028,144.962072
WIFI-235,MEL-0553,Melbourne Central Station - Ml_Platform 1 & 2,UP,-37.810289,144.96194
WIFI-236,MEL-0554,Melbourne Central Station - Ml_Concourse Area,UP,-37.810115,144.962681
WIFI-237,MEL-0555,Melbourne Central Station - Ml_Concourse Area,UP,-37.810157,144.962685
WIFI-238,MEL-0556,Melbourne Central Station - Ml_Concourse Area,UP,-37.810171,144.962489
WIFI-239,MEL-0557,Melbourne Central Station - Ml_Concourse Area,UP,-37.810219,144.962478
WIFI-240,MEL-0558,Melbourne Central Station - Ml_Concourse Area,UP,-37.81021,144.96236
WIFI-241,MEL-0559,Southern Cross Station - Scs_Platform,UP,-37.818651,144.951837
WIFI-242,MEL-0560,Southern Cross Station - Scs_Platform,UP,-37.817999,144.951258
WIFI-243,MEL-0561,Southern Cross Station - Scs_Platform,UP,-37.818503,144.951896
WIFI-244,MEL-0562,Southern Cross Station - Scs_Platform,UP,-37.817969,144.951483
WIFI-245,MEL-0563,Southern Cross Station - Scs_Platform,UP,-37.818422,144.952207
WIFI-246,MEL-0564,Southern Cross Station - Scs_Platform,UP,-37.817914,144.951751
WIFI-247,MEL-0565,Southern Cross Station - Scs_Platform,UP,-37.818363,144.952395
WIFI-248,MEL-0566,Southern Cross Station - Scs_Platform,UP,-37.817799,144.95195
WIFI-249,MEL-0567,Southern Cross Station - Scs_Platform,UP,-37.818198,144.952513
WIFI-250,MEL-0568,Southern Cross Station - Scs_Platform,UP,-37.817651,144.952089
WIFI-251,MEL-0569,Southern Cross Station - Scs_Platform,UP,-37.817994,144.952803
WIFI-252,MEL-0570,Southern Cross Station - Scs_Platform,UP,-37.817617,144.952534
WIFI-253,MEL-0571,Southern Cross Station - Scs_Concourse,UP,-37.816871,144.952669
WIFI-254,MEL-0572,Southern Cross Station - Scs_Concourse,UP,-37.818884,144.953382
WIFI-255,MEL-0573,Southern Cross Station - Scs_Concourse (Upstairs),UP,-37.818962,144.953353
WIFI-256,MEL-0574,Flinders Street Station - Ml_Platform1/2,UP,-37.819002,144.965653
WIFI-257,MEL-0575,Flinders Street Station - Ml_Platform1/2,UP,-37.818875,144.9663
WIFI-258,MEL-0576,Flinders Street Station - Ml_Platform1/2,UP,-37.818816,144.966675
WIFI-259,MEL-0577,Flinders Street Station - Ml_Platform3/4,UP,-37.818774,144.965997
WIFI-260,MEL-0578,Flinders Street Station - Ml_Platform3/4,UP,-37.81868,144.966439
WIFI-261,MEL-0579,Flinders Street Station - Ml_Platform3/4,UP,-37.818606,144.966775
WIFI-262,MEL-0580,Flinders Street Station - Ml_Platform5/6,UP,-37.818621,144.966034
WIFI-263,MEL-0581,Flinders Street Station - Ml_Platform5/6,UP,-37.818547,144.966404
WIFI-264,MEL-0582,Flinders Street Station - Ml_Platform5/6,UP,-37.818462,144.966705
WIFI-265,MEL-0583,Flinders Street Station - Ml_Platform7/8,UP,-37.818492,144.9659
WIFI-266,MEL-0584,Flinders Street Station - Ml_Platform7/8,UP,-37.818371,144.9663355
WIFI-267,MEL-0585,Flinders Street Station - Ml_Platform7/8,UP,-37.818286,144.966638
WIFI-268,MEL-0586,Flinders Street Station - Ml_Platform9/10,UP,-37.818363,144.965846
WIFI-269,MEL-0587,Flinders Street Station - Ml_Platform9/10,UP,-37.818265,144.966182
WIFI-270,MEL-0588,Flinders Street Station - Ml_Platform9/10,UP,-37.818155,144.966557
WIFI-271,MEL-0589,Flinders Street Station - Ml_Platform11/12,UP,-37.818015,144.966541
WIFI-272,MEL-0590,Flinders Street Station - Ml_Platform11/12,UP,-37.818138,144.966077
WIFI-273,MEL-0591,Flinders Street Station - Ml_Platform11/12,UP,-37.818312,144.965519
WIFI-274,MEL-0592,Flinders Street Station - Concourse,UP,-37.818496,144.967327
WIFI-275,MEL-0593,Flinders Street Station - Concourse,UP,-37.818106,144.967112
WIFI-276,MEL-0594,Melbourne Visitors Centre - Federation Square,UP,-37.817654,144.967807
WIFI-277,MEL-0595,Melbourne Visitors Centre - Federation Square,UP,-37.817633,144.968018
WIFI-278,MEL-0596,Queen Victoria Market Shed L,UP,-37.806363,144.957236
WIFI-279,MEL-0597,Queen Victoria Market Shed Rk/Rl,UP,-37.806518,144.957054
WIFI-280,MEL-0598,Queen Victoria Market Shed K,UP,-37.806732,144.957161
WIFI-281,MEL-0599,Queen Victoria Market Shed E,UP,-37.806884,144.956919
WIFI-282,MEL-0600,Queen Victoria Market Shed D,UP,-37.807113,144.957118
WIFI-283,MEL-0601,Queen Victoria Market Shed C,UP,-37.807226,144.956871
WIFI-284,MEL-0602,Queen Victoria Market Shed B,UP,-37.807476,144.956965
WIFI-285,MEL-0603,Queen Victoria Market Shed A,UP,-37.807695,144.956825
WIFI-286,MEL-0604,Queen Victoria Market Shed I,UP,-37.807165,144.958245
WIFI-287,MEL-0605,Bourke St Mall Tourist Info East,UP,-37.81389,144.964444
WIFI-288,MEL-0606,Bourke St Mall Tourist Info West,UP,-37.813916,144.964413
WIFI-289,MEL-0607,Bourke St Mall Tourist Info West,UP,-37.813942,144.964382
WIFI-290,MEL-0608,Bourke St Mall Tourist Info West,UP,-37.813968,144.964351
WIFI-291,MEL-0609,Mcec-Pole 1-South Wharf Promenade,UP,-37.8244315,144.954832
WIFI-292,MEL-0610,Mcec Pole 2-South Wharf Promenade,UP,-37.824188,144.954296
WIFI-293,MEL-0611,Mcec-Pole 3-South Wharf Promenade,UP,-37.824016,144.954277
WIFI-294,MEL-0612,Mcec-Pole 4-South Wharf Promenade,UP,-37.823912,144.954875
WIFI-295,MEL-0613,Mcec-Pole 5-South Wharf Promenade,UP,-37.823804,144.95539
WIFI-296,MEL-0614,Fitzroy Garden Visitor Centre North ,UP,-37.814856,144.979295
WIFI-297,MEL-0615,Fitzroy Garden Visitor Centre South,UP,-37.814939,144.979361
WIFI-298,MEL-0616,Fitzroy Garden Visitor Centre,UP,-37.815149,144.979291
WIFI-299,MEL-0617,Fitzroy Garden Visitor Centre,UP,-37.814976,144.979259
WIFI-300,MEL-0618,Southern Cross Station - Bourke St Footbridge,UP,-37.817667,144.951412
WIFI-301,MEL-0619,Southern Cross Station - Bourke St Footbridge,UP,-37.817602,144.951649
WIFI-302,MEL-0620,Southern Cross Station - Bourke St Footbridge,UP,-37.817542,144.951872
WIFI-303,MEL-0621,Southern Cross Station - Bourke St Footbridge,UP,-37.817467,144.952136
WIFI-304,MEL-0622,Southern Cross Station - Bourke St Footbridge,UP,-37.817389,144.952391
WIFI-305,MEL-0623,Southern Cross Station - Bourke St Footbridge,UP,-37.81728,144.952604
WIFI-306,MEL-0624,Southern Cross Station - Bourke St Footbridge,UP,-37.817275,144.95274
WIFI-307,MEL-0625,Southern Cross Station - Scs_Concourse,UP,-37.819072,144.953155
WIFI-308,MEL-0626,Southern Cross Station - Scs_Concourse,UP,-37.818987,144.95304
WIFI-309,MEL-0627,Southern Cross Station - Scs_Concourse,UP,-37.818953,144.953192
WIFI-310,MEL-0628,Southern Cross Station - Scs_Concourse,UP,-37.818864,144.95371
WIFI-311,MEL-0629,Southern Cross Station - Scs_Concourse,UP,-37.818807,144.95367
WIFI-312,MEL-0630,Southern Cross Station - Scs_Concourse,UP,-37.81853,144.953318
WIFI-313,MEL-0631,Southern Cross Station - Scs_Concourse,UP,-37.818258,144.953179
WIFI-314,MEL-0632,Southern Cross Station - Scs_Concourse,UP,-37.817621,144.95271
WIFI-315,MEL-0633,Southern Cross Station - Scs_Concourse,UP,-37.817871,144.95316
WIFI-316,MEL-0634,Southern Cross Station - Scs_Concourse,UP,-37.817676,144.952997
WIFI-317,MEL-0635,Southern Cross Station - Scs_Concourse,UP,-37.818987,144.95272
WIFI-318,MEL-0636,Southern Cross Station - Scs_Concourse,UP,-37.819028,144.952608
WIFI-319,MEL-0637,Southern Cross Station - Scs_Concourse,UP,-37.819057,144.952495
WIFI-320,MEL-0638,Southern Cross Station - Scs_Concourse,UP,-37.818854,144.953662
WIFI-321,MEL-0639,Flinders Street Station - Concourse,UP,-37.817848,144.967073
WIFI-322,MEL-0640,Flinders Street Station - Concourse,UP,-37.817954,144.967336
WIFI-323,MEL-0641,Flinders Street Station - Concourse,UP,-37.818005,144.967245
WIFI-324,MEL-0642,Flinders Street Station - Concourse,UP,-37.818521,144.96737
WIFI-325,MEL-0643,Flinders Street Station - Concourse,UP,-37.818336,144.967272
WIFI-326,MEL-0644,Flinders Street Station - Concourse,UP,-37.818181,144.967332
WIFI-327,MEL-0671,Flagstaff Station - Ml Entrance,UP,-37.811714,144.956102
WIFI-328,MEL-0677,Parliament Station - Entrance,UP,-37.812179,144.973877
