freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-0507,Parliament Station - Ml_Platform 1 & 2,-37.8118668,144.9739411,UP
MEL-0508,Parliament Station - Ml_Platform 3 & 4,-37.8116888,144.9735776,UP
MEL-0509,Parliament Station - Ml_Platform 3 & 4,-37.8110404,144.9733053,UP
MEL-0510,Parliament Station - Ml_Platform 3 & 4,-37.8115998,144.9739161,UP
MEL-0511,Parliament Station - Ml_Platform 3 & 4,-37.8106308,144.9733072,UP
MEL-0512,Parliament Station - Ml_Platform 3 & 4,-37.8103923,144.97301,UP
MEL-0513,Parliament Station - Ml_Platform 3 & 4,-37.8114506,144.9736558,UP
MEL-0514,Parliament Station - Ml_Platform 3 & 4,-37.8102755,144.9733339,UP
MEL-0515,Parliament Station - Ml_Platform 3 & 4,-37.81095,144.9736343,UP
MEL-0516,Parliament Station - Ml_ North Concourse,-37.8097984,144.972481,UP
MEL-0517,Parliament Station - Ml_South Concourse,-37.8122049,144.9736933,UP
MEL-0518,Parliament Station - Ml_South Concourse,-37.8123645,144.9738435,UP
MEL-0519,Flagstaff Station - Ml_Platform 3 & 4,-37.812215,144.954093,UP
MEL-0520,Flagstaff Station - Ml_Platform 3 & 4,-37.812135,144.954378,UP
MEL-0521,Flagstaff Station - Ml_Platform 3 & 4,-37.812058,144.954635,UP
MEL-0522,Flagstaff Station - Ml_Platform 3 & 4,-37.811969,144.955032,UP
MEL-0523,Flagstaff Station - Ml_Platform 3 & 4,-37.811855,144.95537,UP
MEL-0524,Flagstaff Station - Ml_Platform 3 & 4,-37.811774,144.955762,UP
MEL-0525,Flagstaff Station - Ml_Platform 3 & 4,-37.811673,144.956116,UP
MEL-0526,Flagstaff Station - Ml_Platform 3 & 4,-37.811927,144.956261,UP
MEL-0527,Flagstaff Station - Ml_Platform 1 & 2,-37.812037,144.955939,UP
MEL-0528,Flagstaff Station - Ml_Platform 1 & 2,-37.812179,144.955499,UP
MEL-0529,Flagstaff Station - Ml_Platform 1 & 2,-37.812245,144.955199,UP
MEL-0530,Flagstaff Station - Ml_Platform 1 & 2,-37.812308,144.954469,UP
MEL-0531,Flagstaff Station - Ml_Platform 1 & 2,-37.812215,144.95478,UP
MEL-0532,Flagstaff Station - Ml_Platform 1 & 2,-37.812071,144.955231,UP
MEL-0533,Flagstaff Station - Ml_Platform 1 & 2,-37.811978,144.955633,UP
MEL-0534,Flagstaff Station - Ml_Platform 1 & 2,-37.811851,144.956025,UP
MEL-0535,Flagstaff Station - Ml_Concourse Area ,-37.812139,144.956132,UP
MEL-0536,Flagstaff Station - Ml_Concourse Area ,-37.812266,144.956186,UP
MEL-0537,Flagstaff Station - Ml_Concourse Area ,-37.812338,144.956089,UP
MEL-0538,Melbourne Central Station - Ml_Platform 3 & 4,-37.810391,144.961899,UP
MEL-0539,Melbourne Central Station - Ml_Platform 3 & 4,-37.810348,144.962113,UP
MEL-0540,Melbourne Central Station - Ml_Platform 3 & 4,-37.810315,144.962269,UP
MEL-0541,Melbourne Central Station - Ml_Platform 3 & 4,-37.810288,144.962434,UP
MEL-0542,Melbourne Central Station - Ml_Platform 3 & 4,-37.810216,144.962652,UP
MEL-0543,Melbourne Central Station - Ml_Platform 3 & 4,-37.810168,144.962788,UP
MEL-0544,Melbourne Central Station - Ml_Platform 3 & 4,-37.810089,144.963013,UP
MEL-0545,Melbourne Central Station - Ml_Platform 3 & 4,-37.810024,144.963224,UP
MEL-0546,Melbourne Central Station - Ml_Platform 1 & 2,-37.809968,144.963197,UP
MEL-0547,Melbourne Central Station - Ml_Platform 1 & 2,-37.810027,144.962976,UP
MEL-0548,Melbourne Central Station - Ml_Platform 1 & 2,-37.81008,144.962801,UP
MEL-0549,Melbourne Central Station - Ml_Platform 1 & 2,-37.810191,144.962556,UP
MEL-0550,Melbourne Central Station - Ml_Platform 1 & 2,-37.8102,144.962407,UP
MEL-0551,Melbourne Central Station - Ml_Platform 1 & 2,-37.810257,144.962195,UP
MEL-0552,Melbourne Central Station - Ml_Platform 1 & 2,-37.81028,144.962072,UP
MEL-0553,Melbourne Central Station - Ml_Platform 1 & 2,-37.810289,144.96194,UP
MEL-0554,Melbourne Central Station - Ml_Concourse Area,-37.810115,144.962681,UP
MEL-0555,Melbourne Central Station - Ml_Concourse Area,-37.810157,144.962685,UP
MEL-0556,Melbourne Central Station - Ml_Concourse Area,-37.810171,144.962489,UP
MEL-0557,Melbourne Central Station - Ml_Concourse Area,-37.810219,144.962478,UP
MEL-0558,Melbourne Central Station - Ml_Concourse Area,-37.81021,144.96236,UP
MEL-0559,Southern Cross Station - Scs_Platform,-37.818651,144.951837,UP
MEL-0560,Southern Cross Station - Scs_Platform,-37.817999,144.951258,UP
MEL-0561,Southern Cross Station - Scs_Platform,-37.818503,144.951896,UP
MEL-0562,Southern Cross Station - Scs_Platform,-37.817969,144.951483,UP
MEL-0563,Southern Cross Station - Scs_Platform,-37.818422,144.952207,UP
MEL-0564,Southern Cross Station - Scs_Platform,-37.817914,144.951751,UP
MEL-0565,Southern Cross Station - Scs_Platform,-37.818363,144.952395,UP
MEL-0566,Southern Cross Station - Scs_Platform,-37.817799,144.95195,UP
MEL-0567,Southern Cross Station - Scs_Platform,-37.818198,144.952513,UP
MEL-0568,Southern Cross Station - Scs_Platform,-37.817651,144.952089,UP
MEL-0569,Southern Cross Station - Scs_Platform,-37.817994,144.952803,UP
MEL-0570,Southern Cross Station - Scs_Platform,-37.817617,144.952534,UP
MEL-0571,Southern Cross Station - Scs_Concourse,-37.816871,144.952669,UP
MEL-0572,Southern Cross Station - Scs_Concourse,-37.818884,144.953382,UP
MEL-0573,Southern Cross Station - Scs_Concourse (Upstairs),-37.818962,144.953353,UP
MEL-0574,Flinders Street Station - Ml_Platform1/2,-37.819002,144.965653,UP
MEL-0575,Flinders Street Station - Ml_Platform1/2,-37.818875,144.9663,UP
MEL-0576,Flinders Street Station - Ml_Platform1/2,-37.818816,144.966675,UP
MEL-0577,Flinders Street Station - Ml_Platform3/4,-37.818774,144.965997,UP
MEL-0578,Flinders Street Station - Ml_Platform3/4,-37.81868,144.966439,UP
MEL-0579,Flinders Street Station - Ml_Platform3/4,-37.818606,144.966775,UP
MEL-0580,Flinders Street Station - Ml_Platform5/6,-37.818621,144.966034,UP
MEL-0581,Flinders Street Station - Ml_Platform5/6,-37.818547,144.966404,UP
MEL-0582,Flinders Street Station - Ml_Platform5/6,-37.818462,144.966705,UP
MEL-0583,Flinders Street Station - Ml_Platform7/8,-37.818492,144.9659,UP
MEL-0584,Flinders Street Station - Ml_Platform7/8,-37.818371,144.9663355,UP
MEL-0585,Flinders Street Station - Ml_Platform7/8,-37.818286,144.966638,UP
MEL-0586,Flinders Street Station - Ml_Platform9/10,-37.818363,144.965846,UP
MEL-0587,Flinders Street Station - Ml_Platform9/10,-37.818265,144.966182,UP
MEL-0588,Flinders Street Station - Ml_Platform9/10,-37.818155,144.966557,UP
MEL-0589,Flinders Street Station - Ml_Platform11/12,-37.818015,144.966541,UP
MEL-0590,Flinders Street Station - Ml_Platform11/12,-37.818138,144.966077,UP
MEL-0591,Flinders Street Station - Ml_Platform11/12,-37.818312,144.965519,UP
MEL-0592,Flinders Street Station - Concourse,-37.818496,144.967327,UP
MEL-0593,Flinders Street Station - Concourse,-37.818106,144.967112,UP
MEL-0594,Melbourne Visitors Centre - Federation Square,-37.817654,144.967807,UP
MEL-0595,Melbourne Visitors Centre - Federation Square,-37.817633,144.968018,UP
MEL-0596,Queen Victoria Market Shed L,-37.806363,144.957236,UP
MEL-0597,Queen Victoria Market Shed Rk/Rl,-37.806518,144.957054,UP
MEL-0598,Queen Victoria Market Shed K,-37.806732,144.957161,UP
MEL-0599,Queen Victoria Market Shed E,-37.806884,144.956919,UP
MEL-0600,Queen Victoria Market Shed D,-37.807113,144.957118,UP
MEL-0601,Queen Victoria Market Shed C,-37.807226,144.956871,UP
MEL-0602,Queen Victoria Market Shed B,-37.807476,144.956965,UP
MEL-0603,Queen Victoria Market Shed A,-37.807695,144.956825,UP
MEL-0604,Queen Victoria Market Shed I,-37.807165,144.958245,UP
MEL-0605,Bourke St Mall Tourist Info East,-37.81389,144.964444,UP
MEL-0606,Bourke St Mall Tourist Info West,-37.813916,144.964413,UP
MEL-0607,Bourke St Mall Tourist Info West,-37.813942,144.964382,UP
MEL-0608,Bourke St Mall Tourist Info West,-37.813968,144.964351,UP
MEL-0609,Mcec-Pole 1-South Wharf Promenade,-37.8244315,144.954832,UP
MEL-0610,Mcec Pole 2-South Wharf Promenade,-37.824188,144.954296,UP
MEL-0611,Mcec-Pole 3-South Wharf Promenade,-37.824016,144.954277,UP
MEL-0612,Mcec-Pole 4-South Wharf Promenade,-37.823912,144.954875,UP
MEL-0613,Mcec-Pole 5-South Wharf Promenade,-37.823804,144.95539,UP
MEL-0614,Fitzroy Garden Visitor Centre North ,-37.814856,144.979295,UP
MEL-0615,Fitzroy Garden Visitor Centre South,-37.814939,144.979361,UP
MEL-0616,Fitzroy Garden Visitor Centre,-37.815149,144.979291,UP
MEL-0617,Fitzroy Garden Visitor Centre,-37.814976,144.979259,UP
MEL-0618,Southern Cross Station - Bourke St Footbridge,-37.817667,144.951412,UP
MEL-0619,Southern Cross Station - Bourke St Footbridge,-37.817602,144.951649,UP
MEL-0620,Southern Cross Station - Bourke St Footbridge,-37.817542,144.951872,UP
MEL-0621,Southern Cross Station - Bourke St Footbridge,-37.817467,144.952136,UP
MEL-0622,Southern Cross Station - Bourke St Footbridge,-37.817389,144.952391,UP
MEL-0623,Southern Cross Station - Bourke St Footbridge,-37.81728,144.952604,UP
MEL-0624,Southern Cross Station - Bourke St Footbridge,-37.817275,144.95274,UP
MEL-0625,Southern Cross Station - Scs_Concourse,-37.819072,144.953155,UP
MEL-0626,Southern Cross Station - Scs_Concourse,-37.818987,144.95304,UP
MEL-0627,Southern Cross Station - Scs_Concourse,-37.818953,144.953192,UP
MEL-0628,Southern Cross Station - Scs_Concourse,-37.818864,144.95371,UP
MEL-0629,Southern Cross Station - Scs_Concourse,-37.818807,144.95367,UP
MEL-0630,Southern Cross Station - Scs_Concourse,-37.81853,144.953318,UP
MEL-0631,Southern Cross Station - Scs_Concourse,-37.818258,144.953179,UP
MEL-0632,Southern Cross Station - Scs_Concourse,-37.817621,144.95271,UP
MEL-0633,Southern Cross Station - Scs_Concourse,-37.817871,144.95316,UP
MEL-0634,Southern Cross Station - Scs_Concourse,-37.817676,144.952997,UP
MEL-0635,Southern Cross Station - Scs_Concourse,-37.818987,144.95272,UP
MEL-0636,Southern Cross Station - Scs_Concourse,-37.819028,144.952608,UP
MEL-0637,Southern Cross Station - Scs_Concourse,-37.819057,144.952495,UP
MEL-0638,Southern Cross Station - Scs_Concourse,-37.818854,144.953662,UP
MEL-0639,Flinders Street Station - Concourse,-37.817848,144.967073,UP
MEL-0640,Flinders Street Station - Concourse,-37.817954,144.967336,UP
MEL-0641,Flinders Street Station - Concourse,-37.818005,144.967245,UP
MEL-0642,Flinders Street Station - Concourse,-37.818521,144.96737,UP
MEL-0643,Flinders Street Station - Concourse,-37.818336,144.967272,UP
