monument_id,monument_type,monument_name,monument_address,monument_artist,monument_date,monument_author,monument_structure,monument_latitude,monument_longitude
MONUM-26,Art,The Wave,"12 Georgiana Street, DOCKLANDS",Vashti Gonda,2006,VicUrban,Media installation,-37.821493403054,144.950437271721
MONUM-27,Art,The Public Purse,"348 Bourke Street, MELBOURNE",Simon Perry,1994,City Of Melbourne,Calca red-granite and stainless-steel sculpture,-37.8140976855607,144.963400769342
MONUM-28,Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219524131263,144.946745954515
MONUM-29,Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8218628257359,144.947009412249
MONUM-30,Monument,Captain Cook,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Marc Clark,1973,City Of Melbourne,Bronze statue,-37.8145792919449,144.979494361804
MONUM-31,Monument,Edward George Honey Memorial,"Old Observatory Site, Birdwood Avenue, MELBOURNE",unknown,1965,City Of Melbourne,Stone boulder with bronze and aluminium plaque,-37.8297554405406,144.974419726206
MONUM-32,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187628091159,144.974136155999
MONUM-33,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187508719706,144.974172398306
MONUM-34,Art,The Phoenix,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Yrsa Von Leister,1973,City Of Melbourne,Bronze and sheet copper statue,-37.8221532701427,144.97095067818
MONUM-35,Art,Statue of Meditation,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Robert Delandere,1933,City Of Melbourne,Marble statue,-37.813953837555,144.978577485077
MONUM-36,Monument,Separation Memorial,"401 King Street, WEST MELBOURNE",unknown,1950,City Of Melbourne,Mixed stone sculpture,-37.810695135969,144.953685908935
MONUM-37,Monument,John Batman Memorial (2),"443 Collins Street, MELBOURNE",Stanley Hammond,1978,City Of Melbourne,Bronze statue,-37.8176597509552,144.959772957148
MONUM-38,Art,Blowhole,"13 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,City of Melbourne,Stainless-steel and aluminium sculpture,-37.8219554500409,144.947041997573
MONUM-39,Art,Bust of Sir Samuel Gillott,"37 Collins Street, MELBOURNE",Charles Douglas Richardson,1905,City Of Melbourne,Marble statue,-37.8137257454688,144.972615474
MONUM-40,Monument,Tilly Aston Bell,"Kings Domain, Alexandra Avenue, MELBOURNE",Anton Hasell,1999,City Of Melbourne,Bronze sculpture,-37.8253717117323,144.975900201821
MONUM-41,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.815142895306,144.941571658474
MONUM-42,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8150960305524,144.941483193022
MONUM-43,Art,Silence,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,VicUrban,Sculpture,-37.8151070586048,144.941546516146
MONUM-44,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187745168339,144.974175613725
MONUM-45,Art,Zoo Paving,"11 Old Poplar Road, PARKVILLE",Tanya Court and Kate Cullity,1995,City Of Melbourne,Coloured concrete paving,-37.7825613531513,144.953293881649
MONUM-46,Art,The Pathfinder,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,1974,City Of Melbourne,Bronze sculpture,-37.8220280738117,144.970355228248
MONUM-47,Monument,Stapley Memorial Drinking Fountain,"Birrarung Marr, Batman Avenue, MELBOURNE",unknown,1936,City Of Melbourne,Granite drinking fountain,-37.8189109575006,144.973021274734
MONUM-48,Art,Three Businessmen Who Brought Their Own Lunch,"173 Swanston Street, MELBOURNE",Alison Weaver and Paul Quinn,1993,City Of Melbourne,Bronze sculpture,-37.8136854004532,144.965574539781
MONUM-49,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8187404835153,144.974102781582
MONUM-50,Art,Sundial,"392 William Street, MELBOURNE",unknown,unknown,City Of Melbourne,Bronze sundial on sandstone plinth,-37.8103161768399,144.954937553695
MONUM-51,Art,Lake Waterfall,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",unknown,1973,City Of Melbourne,Stone waterfall,-37.822086065767,144.971811018826
MONUM-52,Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,City Of Melbourne,Bronze sculpture,-37.7788722549869,144.961103719498
MONUM-53,Monument,Councillor William Cook Memorial Drinking Fountain,266 Macpherson Street,Charles Douglas Richardson,1910,City Of Melbourne,"Granite, marble and bluestone drinking fountain",-37.7852874613137,144.966190055728
MONUM-54,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200765201921,144.959699691425
MONUM-55,Monument,King George V,"Kings Domain, Alexandra Avenue, MELBOURNE",Sculptor William Leslie Bowles; founder John Galizia; stonemason G.B. Edwards & Sons,1952,City Of Melbourne,"Bronze, sandstone and granite sculpture with bluestone base",-37.8242726516388,144.973213430025
MONUM-56,Art,Threaded Field,"685 La Trobe Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.815324414746,144.9470729338
MONUM-57,Art,Threaded Field,"683 La Trobe Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8152785788316,144.947248109473
MONUM-58,Art,Threaded Field,"689 La Trobe Street, DOCKLANDS",Simon Perry,1999,VicUrban,Sculpture,-37.8154836225539,144.946712125445
MONUM-59,Monument,Sir William John Clarke,"18 Spring Street, EAST MELBOURNE",Edgar Bertram Mackennal,1902,City Of Melbourne,Marble statue,-37.8136729461963,144.97434487547
MONUM-60,Art,City Living,"5 Jeffcott Street, WEST MELBOURNE",Andrew Rogers,1995,City Of Melbourne,Bronze sculpture,-37.8114750198729,144.953165492089
MONUM-61,Fountain,Clayton Reserve Drinking Fountain,"241 Macaulay Road, NORTH MELBOURNE",unknown,1935,City Of Melbourne,Granite drinking fountain,-37.7956635739188,144.938934811008
